Item ID,Parent ID,Workstream,Area,Feature/Module,Task Title,Task Type,Source Document,Source Ref,Phase,Priority,Owner,Status,Dependencies,Deliverable Or Evidence,Acceptance Criteria,Notes
ADM-EPIC-001,EPIC-MVP,Program,Web admin,Admin Foundation,Admin dashboard foundation: auth staff management permissions and audit baseline,Epic,PRD,Section 6,MVP,P0,,Not Started,,Implementation milestone,All foundation tickets complete and validated,,
DEV-ADM-001,ADM-EPIC-001,Development,Web admin,Staff Auth,Implement admin login logout refresh token session timeout and account lockout,Build,PRD,Section 6 Auth,MVP,P0,,Not Started,DB-002,PR with auth endpoints and guards,Admins can login and logout securely with session expiry enforced,,
DEV-ADM-002,ADM-EPIC-001,Development,Web admin,Staff MFA,Implement second-factor flow for admin login and recovery fallback,Build,PRD,Section 6 Auth,MVP,P1,,Not Started,DEV-ADM-001,PR plus MFA integration tests,MFA is required for privileged roles and fallback flow is audited,,
DEV-ADM-003,ADM-EPIC-001,Development,Web admin,Staff Management,Implement create invite activate deactivate suspend and reset password for staff accounts,Build,PRD,Section 6 Auth + Config,MVP,P0,,Not Started,DEV-ADM-001;DB-002,PR plus admin API docs,Authorized admins can manage staff lifecycle end to end,,
DEV-ADM-004,ADM-EPIC-001,Development,Web admin,Roles and Permissions,Implement role catalog permission matrix and route-level plus action-level RBAC checks,Build,PRD,Section 6 RBAC,MVP,P0,,Not Started,DEV-ADM-001;DEV-ADM-003,PR plus permission middleware tests,Users without permission cannot view or execute restricted actions,,
DEV-ADM-005,ADM-EPIC-001,Development,Web admin,Audit Trail,Implement immutable audit log for login staff changes permission changes exports and support actions,Build,PRD,Section 6 Activity log,MVP,P0,,Not Started,DEV-ADM-004;DB-002,PR plus audit schema and query endpoints,Every critical action stores actor action target timestamp and correlation id,,
DEV-ADM-006,ADM-EPIC-001,Development,Web admin,Admin Dashboard KPIs,Implement overview dashboard for total onboarded users KYC funnel linked accounts total wallet balances AUM and transaction counts,Build,PRD,FR-45 + Section 6 Dashboard,MVP,P1,,Not Started,DEV-ADM-004,PR plus KPI query layer,KPI cards match source data within agreed refresh window,,
ADM-EPIC-002,EPIC-MVP,Program,Web admin,Customer Operations,Customer directory detail page KYC monitoring and support workflow,Epic,PRD,Section 6 Users + Linkage + Support,MVP,P0,,Not Started,,Implementation milestone,All customer operations tickets complete and validated,,
DEV-ADM-007,ADM-EPIC-002,Development,Web admin,Customer Directory,Implement customer list with search by email phone user id and filters by status KYC and linkage,Build,PRD,Section 6 Users,MVP,P0,,Not Started,DEV-ADM-004,PR plus indexed query and pagination,Ops can find any onboarded customer quickly using supported filters,,
DEV-ADM-008,ADM-EPIC-002,Development,Web admin,Customer Detail Page,Implement customer detail page with profile account status created date and recent activity snapshot,Build,PRD,Section 6 Users,MVP,P0,,Not Started,DEV-ADM-007,PR plus detail endpoints,Detail page loads complete customer summary from approved data sources,,
DEV-ADM-009,ADM-EPIC-002,Development,Web admin,KYC Status Panel,Implement KYC panel showing overall status per-check statuses provider refs and last update timestamp,Build,PRD,FR-43 + Section 6 Linkage,MVP,P0,,Not Started,DEV-KYC-004;DEV-ADM-008,PR plus integration tests,KYC panel accurately reflects stored PhlipVerify outcomes with no false verified state,,
DEV-ADM-010,ADM-EPIC-002,Development,Web admin,Cowrywise Linkage Panel,Implement linkage panel for customer and wallet ids readiness state and last sync time,Build,PRD,FR-06 + Section 6 Linkage,MVP,P0,,Not Started,DEV-CW-003;DEV-ADM-008,PR plus integration tests,Support can see linkage readiness and identify blocked states quickly,,
DEV-ADM-011,ADM-EPIC-002,Development,Web admin,Investment and Transaction History,Implement global and per-customer transaction history with filters sorting and pagination,Build,PRD,FR-46,MVP,P1,,Not Started,DEV-ADM-007,PR plus query performance report,History data is accurate filterable and export-ready,,
DEV-ADM-012,ADM-EPIC-002,Development,Web admin,Support Notes and Timeline,Implement append-only support notes with author timestamp and case timeline per customer,Build,ERD,SUPPORT_NOTE,MVP,P1,,Not Started,DEV-ADM-008;DB-002,PR plus API docs,Support notes preserve chronological history and cannot be silently edited,,
DEV-ADM-013,ADM-EPIC-002,Development,Web admin,Escalation Workflow,Implement escalation action with external ticket id priority owner and status tracking,Build,Flowcharts,Section 5 Escalate,MVP,P1,,Not Started,DEV-ADM-012,PR plus event hooks and web links,Escalations are traceable and linked to customer and actor,,
ADM-EPIC-003,EPIC-MVP,Program,Web admin,Catalog and Controls,Product controls and safe admin configuration,Epic,PRD,FR-47 + Section 6 Config,MVP,P1,,Not Started,,Implementation milestone,All control tickets complete and validated,,
DEV-ADM-014,ADM-EPIC-003,Development,Web admin,All Investment Products View,Implement admin page to view all available investment products from provider with type risk currency min amount and status,Build,PRD,FR-47,MVP,P1,,Not Started,DEV-CAT-001;DEV-ADM-004,PR plus sync jobs,Admins can see full live product inventory with required attributes,,
