Item ID,Parent ID,Workstream,Area,Feature/Module,Task Title,Task Type,Source Document,Source Ref,Phase,Priority,Owner,Status,Dependencies,Deliverable Or Evidence,Acceptance Criteria,Notes
EPIC-MVP,,Program,MVP,End-to-end,MVP: register through first investment and core money flows,Epic,PRD,Sections 4-6 + Flowcharts 1-3,MVP,P0,,Not Started,,Program sign-off,All MVP child items complete,,
EPIC-PH2,,Program,Phase 2,Auto-Save and Credit,Phase 2: Auto-Save and lending or overdraft when partner APIs allow,Epic,PRD,Sections 4.9-4.10 + Flowcharts 9-10,Phase 2,P2,,Not Started,,Program sign-off,Phase 2 child items complete,,
DOC-PRD-COVERAGE,EPIC-MVP,Documentation,Traceability,PRD,Map every FR-01 to FR-47 to tracker rows and verify no gaps,Doc Check,PRD,Sections 4.1-4.11,MVP,P0,,Not Started,,Coverage matrix spreadsheet,100 percent FR IDs mapped,,
DOC-FLOW-COVERAGE,EPIC-MVP,Documentation,Traceability,Flowcharts,Map flowchart sections 1-10 to design dev and test tasks,Doc Check,Flowcharts,Sections 1-10,MVP,P0,,Not Started,DOC-PRD-COVERAGE,Traceability checklist,Every flow section has owning tasks,,
DOC-ERD-COVERAGE,EPIC-MVP,Documentation,Traceability,ERD,Verify ERD entities implemented or explicitly deferred with rationale,Doc Check,ERD,All entities + Phase 2,MVP,P0,,Not Started,DOC-PRD-COVERAGE,ERD implementation checklist,Each entity has schema or defer note,,
DOC-OPEN-ITEMS,EPIC-MVP,Documentation,Gaps,PRD Section 12,Close or track PRD open items: endpoints webhooks bank withdraw push RBAC partner APIs,Doc Check,PRD,Section 12,MVP,P0,,Not Started,,Decision log,Each open item has owner and target date,,
DES-IA-001,EPIC-MVP,Design,Mobile IA,Navigation,Design MVP mobile information architecture: Home Invest Portfolio Activity Profile,Design,PRD,Section 5,MVP,P0,,Not Started,,Figma IA map,All MVP tabs and entry points defined,,
DES-BR1-001,EPIC-MVP,Design,Users and profile,BR1,Design registration login logout and profile edit flows and edge states,Design,PRD,FR-01 FR-02 FR-03,MVP,P0,,Not Started,DES-IA-001,Figma flows plus components,Covers verification and re-verify on email or phone change,,
DEV-BR1-001,EPIC-MVP,Development,Users and profile,BR1,Implement registration login logout and profile APIs and persistence,Build,PRD,FR-01 FR-02 FR-03,MVP,P0,,Not Started,DES-BR1-001,API docs plus PR,Meets FR acceptance criteria in PRD table,,
QA-BR1-001,EPIC-MVP,QA,Users and profile,BR1,Test FR-01 FR-02 FR-03 including token refresh and profile edits,Test,PRD,FR-01 FR-02 FR-03,MVP,P0,,Not Started,DEV-BR1-001,Test report,No P1 P2 open,,
DES-KYC-001,EPIC-MVP,Design,eKYC,PhlipVerify,Design PhlipVerify journey: start liveness BVN NIN address blocked retry,Design,PRD,FR-39 FR-43,MVP,P0,,Not Started,DES-BR1-001,Figma prototype,Clear status and next steps when partial or failed,,
DEV-KYC-001,EPIC-MVP,Development,eKYC,PhlipVerify,Server-side PhlipVerify session initiation and outcome persistence FR-39 FR-40,Build,PRD,FR-39 FR-40,MVP,P0,,Not Started,DES-KYC-001,PR plus integration tests,Backend-only secrets outcomes stored with minimisation,,
DEV-KYC-002,EPIC-MVP,Development,eKYC,Webhooks,PhlipVerify webhooks: signature verify idempotent apply FR-41,Build,PRD,FR-41,MVP,P0,,Not Started,DEV-KYC-001,PR plus tests,Duplicate events do not double-apply state,,
DEV-KYC-003,EPIC-MVP,Development,eKYC,Gating,Gate Cowrywise linkage and invest per identity policy FR-42,Build,PRD,FR-42,MVP,P0,,Not Started,DEV-KYC-001,Configurable rules plus UX flags,Invest blocked when policy not met,,
DES-KYC-002,EPIC-MVP,Design,eKYC,Profile status,Design identity verification status display in profile FR-43,Design,PRD,FR-43,MVP,P0,,Not Started,DES-KYC-001,Hi-fi screens,No misleading verified state,,
DEV-KYC-004,EPIC-MVP,Development,eKYC,Profile API,Expose verification status to app from stored results FR-43,Build,PRD,FR-43,MVP,P0,,Not Started,DEV-KYC-001,API contract,Status matches stored PhlipVerify outcomes,,
DES-COMP-001,EPIC-MVP,Design,Compliance,Consent,Design PhlipVerify and processing consent capture FR-44 FR-25,Design,PRD,FR-44 FR-25,MVP,P0,,Not Started,DES-BR1-001,Copy plus consent UI,Versioned consent pattern,,
DEV-COMP-001,EPIC-MVP,Development,Compliance,Consent,Store versioned consent records CONSENT_RECORD FR-25 FR-44,Build,PRD,FR-25 FR-44,MVP,P0,,Not Started,DES-COMP-001,Migrations plus API,Timestamp document version and user id,,
QA-KYC-001,EPIC-MVP,QA,eKYC,PhlipVerify,Test FR-39 through FR-44 and webhook idempotency,Test,PRD,FR-39 to FR-44,MVP,P0,,Not Started,DEV-KYC-002;DEV-KYC-003,Test report,E2E and negative cases pass,,
FLO-001-CHECK,EPIC-MVP,Documentation,Flowchart,Flow 1,Design dev QA align with new user first investment happy path,Doc Check,Flowcharts,Section 1,MVP,P0,,Not Started,DOC-FLOW-COVERAGE,Sign-off note,All nodes covered in tracker,,
